,Mkt-RF,SMB,HML,RF,Year,Month,Day,Date
19270808,-1.08,0.61,-0.53,0.01,1927,08,08,1927-08-08
19270809,0.94,-0.16,0.47,0.01,1927,08,09,1927-08-09
19270810,0.24,-0.06,-0.32,0.01,1927,08,10,1927-08-10
19270811,-1.02,-0.4,-0.18,0.01,1927,08,11,1927-08-11
19270812,-1.57,-0.39,-0.95,0.01,1927,08,12,1927-08-12
19270813,0.89,-0.23,0.13,0.01,1927,08,13,1927-08-13
19270815,1.26,-0.03,0.88,0.01,1927,08,15,1927-08-15
19270816,0.62,0.04,0.08,0.01,1927,08,16,1927-08-16
19270817,0.31,0.51,-0.15,0.01,1927,08,17,1927-08-17
19270818,0.03,-0.24,0.02,0.01,1927,08,18,1927-08-18
19270819,0.15,0.21,-0.29,0.01,1927,08,19,1927-08-19
19270820,0.35,0.04,-0.35,0.01,1927,08,20,1927-08-20
19270822,0.35,-0.19,0.14,0.01,1927,08,22,1927-08-22
19270823,0.05,-0.02,0.11,0.01,1927,08,23,1927-08-23
19270824,0.2,0.03,-0.23,0.01,1927,08,24,1927-08-24
19270825,0.02,-0.16,-0.78,0.01,1927,08,25,1927-08-25
19270826,0.22,-0.28,-0.04,0.01,1927,08,26,1927-08-26
19270827,-0.11,0.32,-0.14,0.01,1927,08,27,1927-08-27
19270829,-0.03,0.02,0.32,0.01,1927,08,29,1927-08-29
19270830,-0.03,-0.3,-0.72,0.01,1927,08,30,1927-08-30
19270831,-0.49,0.04,0.19,0.01,1927,08,31,1927-08-31
19270901,0.8,-0.11,-0.38,0.008,1927,09,01,1927-09-01
19270902,0.58,0,0.25,0.008,1927,09,02,1927-09-02
19270903,0.5,-0.13,-0.33,0.008,1927,09,03,1927-09-03
19270906,0.91,-0.64,0.24,0.008,1927,09,06,1927-09-06
19270907,0.45,-0.36,0.26,0.008,1927,09,07,1927-09-07
19270908,0.01,-0.09,0.17,0.008,1927,09,08,1927-09-08
19270909,-0.63,-0.01,-0.59,0.008,1927,09,09,1927-09-09
19270910,0.43,-0.08,0.24,0.008,1927,09,10,1927-09-10
19270912,-0.36,0.39,-0.31,0.008,1927,09,12,1927-09-12
19270913,1.29,-0.75,-0.24,0.008,1927,09,13,1927-09-13
19270914,0.31,-0.2,-0.22,0.008,1927,09,14,1927-09-14
19270915,0.24,-0.18,-0.01,0.008,1927,09,15,1927-09-15
19270916,0.08,-0.35,0.11,0.008,1927,09,16,1927-09-16
19270917,-0.29,0.23,-0.21,0.008,1927,09,17,1927-09-17
19270919,-0.32,-0.32,-0.03,0.008,1927,09,19,1927-09-19
19270920,0.55,0.09,0.41,0.008,1927,09,20,1927-09-20
19270921,-0.15,0.22,-0.03,0.008,1927,09,21,1927-09-21
19270922,-1.16,0.08,-0.44,0.008,1927,09,22,1927-09-22
19270923,0.52,-0.08,0.15,0.008,1927,09,23,1927-09-23
19270924,0.65,-0.34,-0.17,0.008,1927,09,24,1927-09-24
19270926,-0.91,0.12,0.03,0.008,1927,09,26,1927-09-26
19270927,0.22,-0.5,0.05,0.008,1927,09,27,1927-09-27
19270928,-0.38,-0.06,0.48,0.008,1927,09,28,1927-09-28
19270929,0.17,-0.12,0.01,0.008,1927,09,29,1927-09-29
19270930,1.25,-0.31,0.02,0.008,1927,09,30,1927-09-30
19271001,0.49,-0.06,0.23,0.01,1927,10,01,1927-10-01
19271003,0.26,-0.24,0.58,0.01,1927,10,03,1927-10-03
19271004,-0.4,0.29,-1.26,0.01,1927,10,04,1927-10-04
19271005,-0.29,0.03,-0.21,0.01,1927,10,05,1927-10-05
19271006,0.24,-0.07,0.57,0.01,1927,10,06,1927-10-06
19271007,-0.74,0.51,-0.76,0.01,1927,10,07,1927-10-07
19271008,-0.32,-0.13,0.21,0.01,1927,10,08,1927-10-08
19271010,-0.51,-0.3,-0.38,0.01,1927,10,10,1927-10-10
19271011,0.04,0.26,-0.11,0.01,1927,10,11,1927-10-11
19271013,0.69,0,-0.87,0.01,1927,10,13,1927-10-13
19271014,-0.01,0.68,-0.01,0.01,1927,10,14,1927-10-14
19271015,0.02,0.4,0.1,0.01,1927,10,15,1927-10-15
19271017,-1.26,0.02,-0.27,0.01,1927,10,17,1927-10-17
19271018,0.34,-0.54,-0.1,0.01,1927,10,18,1927-10-18
19271019,-0.81,0.2,0.44,0.01,1927,10,19,1927-10-19
19271020,-1.02,-0.1,0.24,0.01,1927,10,20,1927-10-20
19271021,-0.76,0.82,-0.81,0.01,1927,10,21,1927-10-21
