Date,Returns
20/10/1997,0.000673888
21/10/1997,0.010774377
22/10/1997,-0.003331113
23/10/1997,-0.010695187
24/10/1997,0.00405402
27/10/1997,-0.028936677
28/10/1997,0.034650033
29/10/1997,-0.005358339
30/10/1997,-0.00673404
31/10/1997,-0.004067831
03/11/1997,0.008849558
04/11/1997,-0.003373752
05/11/1997,-0.00473937
06/11/1997,0
07/11/1997,-0.006122483
10/11/1997,0.004106811
11/11/1997,-0.003408316
12/11/1997,-0.005471956
13/11/1997,0.006877613
14/11/1997,0.014344262
17/11/1997,0.023568989
18/11/1997,0
19/11/1997,0.004605296
20/11/1997,0.005893844
21/11/1997,-0.027994727
24/11/1997,-0.003348995
25/11/1997,0.000672077
26/11/1997,-0.002686367
28/11/1997,0.015488181
01/12/1997,0.00795756
02/12/1997,0.005263125
03/12/1997,-0.005890053
04/12/1997,0.007241639
05/12/1997,0.006535915
08/12/1997,0
09/12/1997,-0.009740228
10/12/1997,-0.00852459
11/12/1997,-0.002645503
12/12/1997,0.001326293
15/12/1997,0.016556291
16/12/1997,0.003257264
17/12/1997,0.002597403
18/12/1997,-0.004533647
19/12/1997,0.00325309
22/12/1997,-0.00843061
23/12/1997,-0.001962067
24/12/1997,0.001310583
26/12/1997,0.001308933
29/12/1997,0.004575163
30/12/1997,0.001301269
31/12/1997,0
02/01/1998,-0.006497758
05/01/1998,0.017004578
06/01/1998,0.002572347
07/01/1998,0.008980083
08/01/1998,0.010807375
09/01/1998,-0.011320692
12/01/1998,-0.006361355
13/01/1998,0.006402081
14/01/1998,-0.00190846
15/01/1998,0.00191211
16/01/1998,0.009541953
20/01/1998,0.028355356
21/01/1998,0.022058885
22/01/1998,-0.010791397
23/01/1998,-0.001818212
26/01/1998,-0.001821433
27/01/1998,0.012165389
28/01/1998,0.003605859
29/01/1998,0.01017964
30/01/1998,-0.005927712
02/02/1998,0.031603964
03/02/1998,0.017341128
04/02/1998,-0.001136392
05/02/1998,0.014220705
06/02/1998,-0.002243354
09/02/1998,0.003934767
10/02/1998,0.000559938
11/02/1998,0.008953525
12/02/1998,-0.00499168
13/02/1998,0.005574164
17/02/1998,0.016629655
18/02/1998,-0.00109054
19/02/1998,-0.00109173
20/02/1998,0.001639399
23/02/1998,0.012002128
24/02/1998,-0.016172454
25/02/1998,0.011506795
26/02/1998,0.001083451
27/02/1998,0.006493561
02/03/1998,0.011827903
03/03/1998,0.012221015
04/03/1998,0.009973806
05/03/1998,0.003118451
06/03/1998,0.020725493
09/03/1998,-0.004568553
10/03/1998,0.018867873
11/03/1998,0.037037038
12/03/1998,-0.014961366
13/03/1998,-0.027437506
16/03/1998,0.032745566
17/03/1998,0.028780488
18/03/1998,0.024182101
19/03/1998,0.043981411
20/03/1998,0.02172958
23/03/1998,-0.025607638
24/03/1998,-0.02761697
25/03/1998,0.010535937
26/03/1998,0.012692679
27/03/1998,0.004923948
30/03/1998,-0.015590222
31/03/1998,0.015837126
01/04/1998,-0.002227238
02/04/1998,0.00223221
03/04/1998,0.006236035
06/04/1998,0.012837494
07/04/1998,0.001748296
08/04/1998,0.008726047
09/04/1998,0.008650454
13/04/1998,0.000428838
14/04/1998,0.011573103
15/04/1998,0.004660953
16/04/1998,-0.005904661
17/04/1998,0.000424289
20/04/1998,-0.004240903
21/04/1998,-0.022998254
22/04/1998,-0.033565845
23/04/1998,-0.00405954
24/04/1998,0.03260865
27/04/1998,-0.028508751
28/04/1998,0.019413116
29/04/1998,0.005314482
30/04/1998,0.011013215
01/05/1998,0.004357211
04/05/1998,0.001301562
05/05/1998,0.001299848
06/05/1998,0.002934314
07/05/1998,0.006566086
08/05/1998,0.001714574
11/05/1998,0.003851005
12/05/1998,-0.000426172
13/05/1998,0.005970106
14/05/1998,0.033488724
15/05/1998,0.017637429
18/05/1998,-0.0245868
19/05/1998,-0.005785186
20/05/1998,0.004156297
21/05/1998,0.000413907
22/05/1998,-0.015721928
26/05/1998,0.001681337
27/05/1998,-0.015946244
28/05/1998,-0.00298516
29/05/1998,0.004277182
01/06/1998,0.004258965
02/06/1998,0.041560623
03/06/1998,0.021987012
04/06/1998,0.015139402
05/06/1998,0.004709615
08/06/1998,0.01953125
09/06/1998,-0.005364042
10/06/1998,-0.011170994
11/06/1998,-0.002726899
12/06/1998,-0.00234373
15/06/1998,-0.019185669
16/06/1998,0.022754572
17/06/1998,0.021077244
18/06/1998,0.008409748
19/06/1998,0.02539803
22/06/1998,-0.040665362
23/06/1998,0.01001919
24/06/1998,-0.00305227
25/06/1998,-0.004209663
26/06/1998,0.001537241
29/06/1998,0.003069839
30/06/1998,-0.000382575
01/07/1998,-0.003826961
02/07/1998,-0.005762639
06/07/1998,0.010819204
07/07/1998,-0.006880753
08/07/1998,0.000384931
09/07/1998,-0.004617122
10/07/1998,-0.003092385
13/07/1998,-0.004265238
14/07/1998,0.000778836
15/07/1998,-0.008171245
16/07/1998,-0.00549233
17/07/1998,-0.00433927
20/07/1998,0.008320166
21/07/1998,-0.014538349
22/07/1998,-0.022727273
23/07/1998,-0.019583823
24/07/1998,0.004161402
27/07/1998,-0.020306652
28/07/1998,-0.023265631
29/07/1998,-0.004763989
30/07/1998,0.009573608
31/07/1998,0.009482715
03/08/1998,0.009820645
04/08/1998,-0.022410085
05/08/1998,-0.003460207
06/08/1998,-0.012152821
07/08/1998,0.028119486
10/08/1998,0.002136816
11/08/1998,-0.015778294
12/08/1998,-0.00389948
13/08/1998,0.011309265
14/08/1998,0.000860237
17/08/1998,-0.001718994
18/08/1998,0.03443827
19/08/1998,0.002913025
20/08/1998,-0.013692946
21/08/1998,-0.02566262
24/08/1998,-0.00129538
25/08/1998,0.008646823
26/08/1998,-0.003857694
27/08/1998,-0.030550753
28/08/1998,-0.055481579
31/08/1998,-0.056391
01/09/1998,0.012948207
02/09/1998,0.047197591
03/09/1998,-0.04929573
04/09/1998,-0.017283975
08/09/1998,0.020603016
09/09/1998,-0.015263393
10/09/1998,-0.036499975
11/09/1998,-0.003632563
14/09/1998,0.044270727
15/09/1998,-0.012967482
16/09/1998,0.019706896
17/09/1998,-0.017839494
18/09/1998,-0.006054415
21/09/1998,-0.002030508
22/09/1998,0.002034639
23/09/1998,0.031472003
24/09/1998,-0.001476304
25/09/1998,-0.014292804
28/09/1998,0.01850005
29/09/1998,0.00049082
30/09/1998,-0.022080399
01/10/1998,-0.028098318
02/10/1998,0.014455265
05/10/1998,0.009160331
06/10/1998,0.018154337
07/10/1998,-0.011887048
08/10/1998,-0.020050225
09/10/1998,0.045012867
12/10/1998,0.012726382
13/10/1998,0.00821653
14/10/1998,0.04122718
15/10/1998,0.040515701
16/10/1998,-0.017699093
19/10/1998,-0.004955
20/10/1998,-0.014938886
21/10/1998,-0.01838233
22/10/1998,-0.010299672
23/10/1998,-0.007568591
26/10/1998,-0.007626311
27/10/1998,-0.003362128
28/10/1998,-0.007710843
29/10/1998,0.02379796
30/10/1998,0.018975308
02/11/1998,0.004189944
03/11/1998,0.036624989
04/11/1998,0.021914132
05/11/1998,-0.007877483
06/11/1998,-0.000441112
09/11/1998,-0.011473985
10/11/1998,-0.005357098
11/11/1998,-0.000897688
12/11/1998,0.000898495
13/11/1998,-0.006732563
16/11/1998,0.006326322
17/11/1998,-0.001347126
18/11/1998,0.004046763
19/11/1998,-0.003582624
20/11/1998,0.008539348
23/11/1998,0.040998217
24/11/1998,-0.013270612
25/11/1998,0.001301562
27/11/1998,-0.000433297
30/11/1998,-0.024273928
01/12/1998,0.003553976
02/12/1998,-0.012837583
03/12/1998,-0.002690538
04/12/1998,0.001348943
07/12/1998,-0.005837494
08/12/1998,-0.028455263
09/12/1998,-0.012552301
10/12/1998,-0.017419915
11/12/1998,-0.030186918
14/12/1998,0.033102767
15/12/1998,0.009086585
16/12/1998,0.003317512
17/12/1998,-0.029286774
18/12/1998,-0.020924478
21/12/1998,-0.027833075
22/12/1998,0.014826227
23/12/1998,0.07808559
24/12/1998,0.052803786
28/12/1998,0
29/12/1998,0.000443875
30/12/1998,0.013753305
31/12/1998,0.028446367
04/01/1999,-0.008510681
05/01/1999,-0.022746718
06/01/1999,-0.008783531
07/01/1999,-0.023482433
08/01/1999,-0.01315794
11/01/1999,-0.040000046
12/01/1999,0.000478951
13/01/1999,-0.000478722
14/01/1999,0.008141763
15/01/1999,0.010926438
19/01/1999,-0.010338393
20/01/1999,0.009971558
21/01/1999,-0.019746121
22/01/1999,-0.004796187
25/01/1999,0.026505976
26/01/1999,-0.006572723
27/01/1999,-0.004253332
28/01/1999,0.01756056
29/01/1999,0.002798484
01/02/1999,0.069302326
02/02/1999,0.073510244
03/02/1999,0.024311183
04/02/1999,-0.057357614
05/02/1999,-0.002937474
08/02/1999,0.021885543
09/02/1999,-0.011944007
10/02/1999,0.004168404
11/02/1999,0.002490639
12/02/1999,-0.016977205
16/02/1999,0.005476032
17/02/1999,-0.006703058
18/02/1999,0.006326508
19/02/1999,0.007963055
22/02/1999,-0.001247339
